edge_id,direction
-11714723,wb
12691191,nb
-12691191,sb
13232758,eb
-13232758,wb
13974855,eb
-13974855,wb
14020766,eb
-14020766,wb
14020767,eb
-14020767,wb
14070145,nb
-14070145,sb
14070155,nb
-14070155,sb
14070197,sb
-14070197,nb
14070198,sb
-14070198,nb
14070199,sb
-14070199,nb
14070200,sb
-14070200,nb
14070218,sb
-14070218,nb
14070219,sb
-14070219,nb
14228398,nb
-14228398,sb
14228399,nb
-14228399,sb
14228405,sb
-14228405,nb
14258090,eb
-14258090,wb
14605392,nb
-14605392,sb
14605393,nb
-14605393,sb
14605414,nb
-14605414,sb
14605415,nb
-14605415,sb
14605473,eb
-14605473,wb
14605474,eb
-14605474,wb
14605475,eb
-14605475,wb
14605482,nb
-14605482,sb
14663886,eb
-14663886,wb
14668247,eb
-14668247,wb
14668275,nb
-14668275,sb
14668361,eb
-14668361,wb
14673433,eb
-14673433,wb
20040316,eb
-20040316,wb
20040317,eb
-20040317,wb
20040327,nb
-20040327,sb
20040333,nb
-20040333,sb
20040334,eb
-20040334,wb
20040343,sb
-20040343,nb
20050897,nb
-20050897,sb
20050910,nb
-20050910,sb
20050911,nb
-20050911,sb
20050928,nb
-20050928,sb
20050929,nb
-20050929,sb
20051013,nb
-20051013,sb
20054765,wb
-20054765,eb
20054766,nb
-20054766,sb
20054774,nb
-20054774,sb
20054775,nb
-20054775,sb
20105539,eb
-20105539,wb
20105568,eb
-20105568,wb
20105572,nb
-20105572,sb
20105581,eb
-20105581,wb
20110472,eb
-20110472,wb
20110483,wb
-20110483,eb
2798981,sb
-2798981,nb
2809289,nb
-2809289,sb
2812157,eb
-2812157,wb
30001033,nb
-30001033,sb
30001036,nb
-30001036,sb
30013725,eb
-30013725,wb
30013726,nb
-30013726,sb
30077086,eb
-30077086,wb
30083021,eb
-30083021,wb
30083022,eb
-30083022,wb
30087939,nb
-30087939,sb
30100021,sb
-30100021,nb
30100022,nb
-30100022,sb
30100024,sb
-30100024,nb
30100036,sb
-30100036,nb
30100037,nb
-30100037,sb
30101478,eb
-30101478,wb
30101481,eb
-30101481,wb
30101483,eb
-30101483,wb
30101484,eb
-30101484,wb
30101488,nb
-30101488,sb
30101489,wb
-30101489,eb
30101495,nb
-30101495,sb
30101496,wb
-30101496,eb
30101498,nb
-30101498,sb
30101503,eb
-30101503,wb
30101505,nb
-30101505,sb
30101506,nb
-30101506,sb
30101507,eb
-30101507,wb
30101509,eb
-30101509,wb
30101511,nb
-30101511,sb
30101513,wb
-30101513,eb
30101514,wb
-30101514,eb
30101515,eb
-30101515,wb
30101521,eb
-30101521,wb
30106258,eb
-30106258,wb
30106264,eb
-30106264,wb
30106265,nb
-30106265,sb
30107359,nb
-30107359,sb
30108020,nb
-30108020,sb
30108022,nb
-30108022,sb
30108023,nb
-30108023,sb
30108025,nb
-30108025,sb
30108026,eb
-30108026,wb
30108028,eb
-30108028,wb
30108030,nb
-30108030,sb
30108031,nb
-30108031,sb
30109374,sb
-30109374,nb
30109375,sb
-30109375,nb
30109380,sb
-30109380,nb
30109381,sb
-30109381,nb
30109383,sb
-30109383,nb
30109384,eb
-30109384,wb
30109388,eb
-30109388,wb
30109389,eb
-30109389,wb
30109390,eb
-30109390,wb
30109392,sb
-30109392,nb
30111763,nb
-30111763,sb
30111765,nb
-30111765,sb
30111766,nb
-30111766,sb
30111770,wb
-30111770,eb
30111771,eb
-30111771,wb
30111772,nb
-30111772,sb
3011683,nb
-3011683,sb
3011699,nb
-3011699,sb
30122712,nb
-30122712,sb
30122713,nb
-30122713,sb
30123087,eb
-30123087,wb
30137869,nb
-30137869,sb
3497264,eb
-3497264,wb
4309298,eb
-4309298,wb
4309325,nb
-4309325,sb
4309380,nb
-4309380,sb
4309381,eb
-4309381,wb
4605077,eb
-4605077,wb
4605094,eb
-4605094,wb
4684710,nb
-4684710,sb
4684711,nb
-4684711,sb
4684714,nb
-4684714,sb
4889825,eb
-4889825,wb
5047774,eb
-5047774,wb
5066211,nb
-5066211,sb
5066262,nb
-5066262,sb
5087274,nb
-5087274,sb
5353566,nb
-5353566,sb
5353610,eb
-5353610,wb
5353633,nb
-5353633,sb
6332578,nb
-6332578,sb
6332579,nb
-6332579,sb
6332587,nb
-6332587,sb
6332588,nb
-6332588,sb
6332605,eb
-6332605,wb
6408248,eb
-6408248,wb
6427460,nb
-6427460,sb
6427464,nb
-6427464,sb
6427468,nb
-6427468,sb
6427469,nb
-6427469,sb
6436410,nb
-6436410,sb
6436414,nb
-6436414,sb
6436415,nb
-6436415,sb
6436449,eb
-6436449,wb
6535415,eb
-6535415,wb
6541761,eb
-6541761,wb
6541762,nb
-6541762,sb
7017636,eb
-7017636,wb
7155256,eb
-7155256,wb
7171584,wb
-7171584,eb
7171791,eb
-7171791,wb
7171803,eb
-7171803,wb
7179805,nb
-7179805,sb
7179817,nb
-7179817,sb
7204388,eb
-7204388,wb
7204415,nb
-7204415,sb
7204446,nb
-7204446,sb
7204470,nb
-7204470,sb
7204482,nb
-7204482,sb
9638338,eb
-9638338,wb
9909946,eb
-9909946,wb
9910057,nb
-9910057,sb
9910076,nb
-9910076,sb
